title,price,reviews,rating,company,customerreviews,primaryprice,brand,totalreviews
Orient Electric Apex-FX 1200mm Ceiling Fan (Brown)," 1,320.00",902,3.9,Orient Electric,3.9 out of 5 stars,,Orient Electric,902 customer reviews
Usha Maxx Air 400mm Pedestal Fan (White)," 2,147.00",928,4.0,Usha,4.0 out of 5 stars,,Usha,928 customer reviews
Usha Diplomat 1200 mm 74-Watt Ceiling Fan (Rich Brown)," 1,241.00",220,3.8,Usha,3.8 out of 5 stars,,Usha,220 customer reviews
Orient Quasar Ornamental 600 mm 24-inch 70-Watt Premium Ceiling Fan (Golden Chocolate)," 2,140.00",35,3.6,Orient,3.6 out of 5 stars,,Orient,35 customer reviews
Luminous Dhoom 1200mm 70-Watt High Speed Ceiling Fan (Brown)," 1,565.00",138,3.8,Luminous,3.8 out of 5 stars,,Luminous,138 customer reviews
Luminous Exhaust Fan Vento Deluxe 200 mm,,69,4.0,Luminous,4.0 out of 5 stars,,Luminous,69 customer reviews
Usha Maxx Air 400mm Table Fan (Blue)," 1,693.00",373,4.2,Usha,4.2 out of 5 stars,,Usha,373 customer reviews
Usha New Trump 1200mm 78-Watt Ceiling Fan (Pearl Ivory)," 1,784.00",48,3.7,Usha,3.7 out of 5 stars,,Usha,48 customer reviews
CRANE Digital LED Display Tower Fan with 12 Hour Timer and Powerful 45W Motor (Grey),,35,2.8,Crane,2.8 out of 5 stars,,Crane,35 customer reviews
Havells Ambrose 1200mm Ceiling Fan (Pearl White Wood)," 2,449.00",119,3.9,Havells,3.9 out of 5 stars,,Havells,119 customer reviews
Crompton  Hiflo 400mm Pedestal Fan LG," 2,551.00",97,3.6,Crompton,3.6 out of 5 stars,,Crompton,97 customer reviews
Fan, 390.00,74,3.8,"
                
                
                
                    
                    
                        
                        ",3.8 out of 5 stars,,"
                
                
                
                    
                    
                        
                        ",74 customer reviews
Havells Swing 400mm Wall Fan (Off White)," 2,219.00",108,3.9,Havells,3.9 out of 5 stars,,Havells,108 customer reviews
"Hans Lighting Ceiling Fan with Light, 5 Blade, 48 inch (Tea Color Lamp)"," 5,199.00",14,4.2,Hans Lighting,4.2 out of 5 stars,,Hans Lighting,14 customer reviews
