title,price,reviews,rating,company,customerreviews,primaryprice,brand,totalreviews
"AmazonBasics 11.6-inch Laptop and Tablet Bag,Black", 899.00,964,4.2,AmazonBasics,4.2 out of 5 stars,,AmazonBasics,964 customer reviews
"HP 15 AMD E2 15.6-inch Entry Level Laptop (4GB /1TB HDD/Windows 10 Home/Jet Black/2.04 Kgs), 15q-bw548AU"," 20,990.00",184,3.0,HP,3.0 out of 5 stars,,HP,184 customer reviews
"HP Pavilion x360 Intel Core i3 8th Gen 14-inch Touchscreen 2-in-1 FHD Thin and Light Laptop (4GB/1TB+8GB SSHD/Windows 10 Home/MS Office/Natural Silver/1.59 kg), cd0077TU"," 48,990.00",169,3.4,HP,3.4 out of 5 stars,,HP,169 customer reviews
"HP 15 Intel Core i5 7th Gen 15.6-inch FHD Laptop (8GB/1TB HDD/Windows 10 Home/Sparkling Black/2.2 kg), bu044TU"," 41,990.00",120,3.7,HP,3.7 out of 5 stars,,HP,120 customer reviews
"Acer Aspire Intel Core i3 6th gen 15.6-inch Laptop (4GB/1TB HDD/Linux/Black/2.23kg), E5-576"," 24,989.00",32,3.7,Acer,3.7 out of 5 stars,,Acer,32 customer reviews
Dell Inspiron 3567 Intel Core i3 7th Gen 15.6-inch FHD Laptop (4GB/1TB HDD/Windows 10 Home/MS Office/Black/2.5kg)," 31,700.00",32,2.9,Dell,2.9 out of 5 stars,,Dell,32 customer reviews
"ASUS TUF FX504GD-E4363T 15.6-inch Laptop (8th Gen Core i5-8300H/8GB/1TB/128 GB SSD/Windows 10/4GB Graphics ), Gun Metal"," 65,990.00",45,3.9,Asus,3.9 out of 5 stars,,Asus,45 customer reviews
"Lenovo ideapad 320E-15IKB 80XL040VIN 15.6-inch Laptop (Core I5-7200U/4GB/1TB/Windows 10/2GB Graphics), Black"," 40,490.00",8,3.7,Lenovo,3.7 out of 5 stars,,Lenovo,8 customer reviews
"RDP ThinBook 1310-EC1 11.6"" HD Display Laptop with Intel Quad Core Processor/4GB RAM/32GB Storage/10.5 Hours Backup/Windows 10 (Black)"," 12,990.00",9,3.4,RDP,3.4 out of 5 stars,,RDP,9 customer reviews
HP 245 G5 AMD A6 14-inch Laptop (4GB/500GB HDD/DOS/Black/2.76 kg)," 18,989.00",244,3.7,HP,3.7 out of 5 stars,,HP,244 customer reviews
Dell Inspiron 15 3552 Pentium 15-inch Laptop (4GB/500GB HDD/Ubuntu Linux 14.04/Black/2.19 kg)," 20,990.00",103,3.6,Dell,3.6 out of 5 stars,,Dell,103 customer reviews
"HP Laptop Adapter Charger 65w 19.5V 3.33A Bluetip for Pavilion 11-n1xx X360, 13-a1xx X360, Envy M6-1200, 14-w0xx"," 1,329.00",5,4.2,HP,4.2 out of 5 stars,,HP,5 customer reviews
SR Global Mini USB & OTG Fan for Mobile/Laptop/ Desktop/Powerbank (Assorted Colour) Model 165572, 149.00,nan,nan,SR Global,,,SR Global,
"HP 15 Intel Core i3 7th Gen 15.6-inch Thin and Light Laptop (4GB/1TB HDD/DOS/Jet Black/1.86 Kg), BU034tu"," 27,990.00",34,3.6,HP,3.6 out of 5 stars,,HP,34 customer reviews
ACER ASPIRE ES1-572-33M8 LAPTOP (CORE I3 6TH GEN/4 GB DDR-4/1 TB/WINDOWS 10)WITH MS-OFFICE,,9,3.7,Acer,3.7 out of 5 stars,,Acer,9 customer reviews
CASE U Polyester 15.6 inch 360 Degree Protective Black Laptop Bag," 1,499.00",89,4.7,CASE U,4.7 out of 5 stars,,CASE U,89 customer reviews
"Dell Inspiron 3576 15.6 FHD Laptop 2018 (Core i5 8th Gen 8250U/8 GB RAM/2 TB HDD/Windows 10/MS Office/2 GB Graphics), Black"," 55,975.00",3,4.4,Dell,4.4 out of 5 stars,,Dell,3 customer reviews
"Lenovo Polyester 15.6"" Black Laptop Backpack", 324.00,3,2.7,Lenovo,2.7 out of 5 stars,,Lenovo,3 customer reviews
Dell Inspiron 3573 Intel Pentium 15.6-inch Laptop (4GB/500GB HDD/Ubuntu/Black/2.5 Kg)," 20,990.00",22,3.9,Dell,3.9 out of 5 stars,,Dell,22 customer reviews
"Aquaras Educational Learning Kids Laptop, Led Display, With Music, Assorted Color", 355.00,11,3.6,AQUARAS,3.6 out of 5 stars,,AQUARAS,11 customer reviews
"Asus Vivobook X507UF-EJ101T Notebook (i5-8250U (8th Gen.)/ 8GB DDR4/ 1TB HDD / Nvidia MX130 2GB DDR5/ 15.6"" Full HD AntiGlare / Windows 10 / 1.68 Kgs / Finger Print Reader / Gold)"," 45,857.00",16,3.7,Asus,3.7 out of 5 stars,,Asus,16 customer reviews
"Lenovo Ideapad 330 AMD A6 Processor 15.6-inch Laptop (4GB/1TB HDD/DOS/Onyx Black/ 2.2kg), 81D6007JIN"," 18,990.00",19,2.7,Lenovo,2.7 out of 5 stars,,Lenovo,19 customer reviews
"HP 15 BR004TU 2018 15.6-inch Laptop (7th Gen i3-7100U/4GB/1TB/Windows 10 Home/Integrated Graphics), Natural Silver"," 31,850.00",15,3.5,HP,3.5 out of 5 stars,,HP,15 customer reviews
Wildcraft Work Packs'18 21 Ltrs Black Laptop Backpack (Streak Plus)," 1,408.00",46,4.6,Wildcraft,4.6 out of 5 stars,,Wildcraft,46 customer reviews
"Lenovo Ideapad 330-15IKB 81DE0088IN 15.6-inch Full HD Laptop (8th Gen I5-8250U/8GB DDR4/2TB HDD/FREE-DOS/2GB AMD Graphics), Platinum Grey"," 44,160.00",11,3.7,Lenovo,3.7 out of 5 stars,,Lenovo,11 customer reviews
"AirCase C21 14-Inch Laptop Sleeve, Premium, Designer, 6-MultiUtility Pockets (Charcoal Black)", 799.00,97,4.3,AirCase,4.3 out of 5 stars,,AirCase,97 customer reviews
American Tourister Activair Polyester 21 Ltrs Black Laptop Backpack (56T (0) 09 006)," 2,320.00",39,4.3,American Tourister,4.3 out of 5 stars,,American Tourister,39 customer reviews
"CASE U 13.3 inch Laptop Sleeve Bag (13-14 Inch, Grey)", 999.00,89,4.7,CASE U,4.7 out of 5 stars,,CASE U,89 customer reviews
HP Odyssey L8J88AA Backpack for 15.6-inch Laptop," 1,869.00",1254,4.4,HP,4.4 out of 5 stars,,HP,"1,254 customer reviews"
CASE U 13.3 Inch Black Laptop Sleeve Bag," 1,296.00",89,4.7,CASE U,4.7 out of 5 stars,,CASE U,89 customer reviews
"Acer Aspire 5 (Core i5 - 8th Gen / 8 GB / 1 TB / 15.6"" FHD / Windows 10) Aspire 5 A515-52 Thin and Light Laptop (NX.H16SI.003) (Obsidian Black, 1.8 kg)"," 49,990.00",nan,nan,Acer,,,Acer,
Laptop Table, 849.00,nan,nan,RMA HANDICRAFTS,,,RMA HANDICRAFTS,
Lenovo ADLX45NDC3A ADLX45NLC3A ADLX45NCC3A 0C19880 ADLX45NCC2A Laptop AC Adapter Charger Power Cord," 1,549.00",16,3.7,Lenovo,3.7 out of 5 stars,,Lenovo,16 customer reviews
"TopMate C5 12-15.6 inch Gaming Laptop Cooler, Five Quite Fans and LCD Screen，2500RPM Strong Wind Speed Designed for Gamers and Office"," 1,499.00",27,4.5,Topmate,4.5 out of 5 stars,,Topmate,27 customer reviews
Aart Store Beautiful Flower Printed Multipurpose Wooden Laptop Table for Study/Reading/Writing/Eating, 799.00,nan,nan,Aart,,,Aart,
(Certified REFURBISHED) HP 8440p 14-inch Laptop (4GB/ 250 GB Hard drive/Windows 10/Silver)," 17,500.00",nan,nan,HP,,,HP,
Novex Pacific 15.6-inch Laptop Trolley Backpack (Green)," 1,959.00",11,4.5,Novex,4.5 out of 5 stars,,Novex,11 customer reviews
"HP 15 BW096AU 2018 15.6-inch Laptop (7th Gen A6-9220/4GB/1TB/DOS/Integrated Graphics), Jet Black",,27,3.1,HP,3.1 out of 5 stars,,HP,27 customer reviews
Cosmic Byte Hailstorm Laptop Vacuum Cooler (Black and Blue)," 1,275.00",66,4.0,Cosmic Byte,4.0 out of 5 stars,,Cosmic Byte,66 customer reviews
BlueLife Anti-Theft Canvas 15.6-inch Laptop Backpack with USB Charging, 640.00,60,3.0,BlueLife,3.0 out of 5 stars,,BlueLife,60 customer reviews
