title,price,reviews,rating,company,customerreviews,primaryprice,brand,totalreviews
Amazon Brand - Symbol Men's Sneakers, 979.00,7,4.3,,4.3 out of 5 stars,,,7 customer reviews
Softdeal International Men's Sports Shoes/Running Shoes, 273.00 - ,1,5.0,Softdeal,5.0 out of 5 stars,,Softdeal,1 customer review
Tempo Men's Combo Pack Of 3 Synthetic Loafers Shoes - Multicolour, 649.00,1178,3.6,Tempo,3.6 out of 5 stars,,Tempo,"1,178 customer reviews"
Bersache Men's Canvas Sports Running Shoes - Combo Pack of 3,,59,2.6,Bersache,2.6 out of 5 stars,,Bersache,59 customer reviews
Afrojack Men's Air-5 Mesh Sports Sneakers,,19,3.5,Afrojack,3.5 out of 5 stars,,Afrojack,19 customer reviews
Beonza Men's Canvas Loafer, 499.00,270,3.6,BEONZA,3.6 out of 5 stars,,BEONZA,270 customer reviews
AFEO Black Non-Woven Fabric Shoe Bag with Transparent Window - Pack of 10, 345.00,10,4.4,AFEO,4.4 out of 5 stars,,AFEO,10 customer reviews
Kraasa Men's Synthetic Sneakers,,664,3.1,Kraasa,3.1 out of 5 stars,,Kraasa,664 customer reviews
Tortals Men's Casual Canvas Running Shoes, 334.00 - ,nan,nan,Generic,,,Generic,
Lancer INDUS Men's Sports Running Shoes, 499.00 - ,215,3.4,,3.4 out of 5 stars,,,215 customer reviews
B11 42cm / 17 Inch Long Handled Heavy Duty Metal shoe horn Sturdy & Light Weight Shoe horn, 299.00,6,4.1,B11,4.1 out of 5 stars,,B11,6 customer reviews
Power Men's N Walk Calm Nordic Walking Shoes," 1,399.00 - ",22,4.4,Power,4.4 out of 5 stars,,Power,22 customer reviews
WORLD WEAR FOOTWEAR Women Loafers & Moccasins Shoes,,3,4.4,WORLD WEAR FOOTWEAR,4.4 out of 5 stars,,WORLD WEAR FOOTWEAR,3 customer reviews
SKYMATE Red Lite Weight Sport Shoes for Boys(7yrs-15yrs), 399.00 - ,7,3.3,SKYMATE,3.3 out of 5 stars,,SKYMATE,7 customer reviews
Reebok Men's Sprint Affect Xtreme Lp Running Shoes," 1,499.00",3,5.0,,5.0 out of 5 stars,,,3 customer reviews
Fila Men's Zoomer Sneakers, 749.00,116,4.0,,4.0 out of 5 stars,,,116 customer reviews
SKYMATE Navy Blue Cool Sneakers for Boys(7yrs-15yrs), 379.00 - ,2,4.0,SKYMATE,4.0 out of 5 stars,,SKYMATE,2 customer reviews
Bourge Men's Vega-1 Running Shoes, 549.00,7,4.5,,4.5 out of 5 stars,,,7 customer reviews
Kraasa Men's Mesh Running Shoes,,116,3.0,Kraasa,3.0 out of 5 stars,,Kraasa,116 customer reviews
Lee Cooper Men's Sneakers," 1,159.00 - ",5,4.1,,4.1 out of 5 stars,,,5 customer reviews
Sparx Women's Nordic Walking Shoes, 609.00 - ,325,4.0,,4.0 out of 5 stars,,,325 customer reviews

Amazon Brand - Symbol Men's Sneakers, 839.00,7,4.3,,4.3 out of 5 stars,,,7 customer reviews

Softdeal International Men's Sports Shoes/Running Shoes, 299.00 - ,1,5.0,Softdeal,5.0 out of 5 stars,,Softdeal,1 customer review

Tempo Men's Combo Pack Of 3 Synthetic Loafers Shoes - Multicolour, 649.00,1179,3.6,Tempo,3.6 out of 5 stars,,Tempo,"1,179 customer reviews"

Bersache Men's Canvas Sports Running Shoes - Combo Pack of 3, 549.00 - ,59,2.6,Bersache,2.6 out of 5 stars,,Bersache,59 customer reviews

"Bata Industrials Bora Derby Safety Shoes (Black, UK Size 7)", 997.00,212,3.2,BATA,3.2 out of 5 stars,,BATA,212 customer reviews

LeatherKraft Men's Combo Pack of 2 Stylish Sports Shoes, 549.00 - ,3,2.9,,2.9 out of 5 stars,,,3 customer reviews

Beonza Men's Canvas Loafer, 499.00,270,3.6,BEONZA,3.6 out of 5 stars,,BEONZA,270 customer reviews

Tempo Men's Canvas Casual Shoes, 275.00 - ,48,2.4,Tempo,2.4 out of 5 stars,,Tempo,48 customer reviews

B11 42cm / 17 Inch Long Handled Heavy Duty Metal shoe horn Sturdy & Light Weight Shoe horn, 299.00,6,4.1,B11,4.1 out of 5 stars,,B11,6 customer reviews

"Denill Latest Collection, Comfortable & Fashionable Bellies for Women's and Girl's", 399.00 - ,90,4.3,Denill,4.3 out of 5 stars,,Denill,90 customer reviews

Force 10 (from Liberty) Unisex School Shoes, 399.00 - ,166,4.1,,4.1 out of 5 stars,,,166 customer reviews

Sparx Men's Mesh Lifestyle Shoes, 899.00 - ,37,4.5,,4.5 out of 5 stars,,,37 customer reviews

Skechers Women's Go Walk Lite - Harmony Nordic Shoes," 2,399.00 - ",4,4.4,,4.4 out of 5 stars,,,4 customer reviews

SKYMATE Red Lite Weight Sport Shoes for Boys(7yrs-15yrs), 409.00 - ,7,3.3,SKYMATE,3.3 out of 5 stars,,SKYMATE,7 customer reviews

Puma Men's Happyfeetv2 Idp Running Shoes," 1,319.00 - ",2,4.5,,4.5 out of 5 stars,,,2 customer reviews

George Adam1001 Black Formal_10, 499.00,1,5.0,george Adam,5.0 out of 5 stars,,george Adam,1 customer review

Skechers Men's Nordic Walking Shoes," 2,499.00 - ",3,4.6,,4.6 out of 5 stars,,,3 customer reviews

Skechers Men's Drafter- Havenedge Sneakers," 2,649.00 - ",4,4.5,,4.5 out of 5 stars,,,4 customer reviews

Thari Choice Women's Velvet Shoes, 399.00,186,3.7,,3.7 out of 5 stars,,,186 customer reviews

Adidas Women's Running Shoes," 1,649.00 - ",3,4.2,,4.2 out of 5 stars,,,3 customer reviews

Kraasa Men's Mesh Running Shoes, 499.00,116,3.0,Kraasa,3.0 out of 5 stars,,Kraasa,116 customer reviews

